File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF545ECJ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR353HEP	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										TARDBP-human	DNA						2014-07-07	ENCODE		see document		2	2_1							/files/ENCFF244VAF/, /files/ENCFF356LFX/, /files/ENCFF793EAF/, /files/ENCFF995UPB/	65390	ENCODE Processing Pipeline	cc174afdd21efa58a3eaa668bac4e30b		https://www.encodeproject.org/files/ENCFF545ECJ/@@download/ENCFF545ECJ.bed.gz				released	s3://encode-public/2021/02/04/71f1a46b-59d8-4777-898c-de5de14c97ad/ENCFF545ECJ.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read depth		
ENCFF795WND	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR353HEP	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										TARDBP-human	DNA						2014-07-07	ENCODE		see document		1	1_1							/files/ENCFF989IWZ/, /files/ENCFF356LFX/, /files/ENCFF793EAF/, /files/ENCFF244VAF/	75656	ENCODE Processing Pipeline	423abdc55c424a258910e907bd90bfd3		https://www.encodeproject.org/files/ENCFF795WND/@@download/ENCFF795WND.bed.gz				released	s3://encode-public/2021/02/04/d7f21b33-22ce-448a-8b13-3d4e4811d770/ENCFF795WND.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read depth		
ENCFF880BPX	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR353HEP	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										TARDBP-human	DNA						2014-07-07	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF995UPB/, /files/ENCFF244VAF/, /files/ENCFF989IWZ/, /files/ENCFF793EAF/, /files/ENCFF356LFX/	134292	ENCODE Processing Pipeline	daae13cffddec2040537989f0612f941		https://www.encodeproject.org/files/ENCFF880BPX/@@download/ENCFF880BPX.bed.gz				released	s3://encode-public/2021/02/04/3f88b4a7-2014-45a0-ba71-745f16103b26/ENCFF880BPX.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read depth		
ENCFF205NUY	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR353HEP	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										TARDBP-human	DNA						2014-07-07	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF995UPB/, /files/ENCFF244VAF/, /files/ENCFF989IWZ/, /files/ENCFF793EAF/, /files/ENCFF356LFX/	118316	ENCODE Processing Pipeline	802f46c9ef89410f6a4673948c577a34		https://www.encodeproject.org/files/ENCFF205NUY/@@download/ENCFF205NUY.bed.gz				released	s3://encode-public/2021/02/04/91571a99-e63f-4cc3-a569-b0a510739f9a/ENCFF205NUY.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read depth		
ENCFF078SOE	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR016UEH	TF ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										TARDBP-human	DNA						2016-11-08	ENCODE		see document		2	2_1							/files/ENCFF747NOF/, /files/ENCFF423BBH/, /files/ENCFF179SRP/	5208687	ENCODE Processing Pipeline	2293c9c9d7f2bcd77c62ef6d5d7f285b		https://www.encodeproject.org/files/ENCFF078SOE/@@download/ENCFF078SOE.bed.gz				released	s3://encode-public/2016/11/02/383a05b3-7417-44d0-9155-0138902a8b72/ENCFF078SOE.bed.gz	ENCODE3 GRCh38	archived	low read depth, borderline replicate concordance		
ENCFF043AHC	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR016UEH	TF ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										TARDBP-human	DNA						2016-11-08	ENCODE		see document		1	1_1							/files/ENCFF747NOF/, /files/ENCFF963FTZ/, /files/ENCFF423BBH/	5583086	ENCODE Processing Pipeline	ab1002a4e7ee46746e3a73b51162598c		https://www.encodeproject.org/files/ENCFF043AHC/@@download/ENCFF043AHC.bed.gz				released	s3://encode-public/2016/11/02/5a42cf01-784b-4c42-8481-dfdb8eb7101b/ENCFF043AHC.bed.gz	ENCODE3 GRCh38	archived	low read depth, borderline replicate concordance		
ENCFF938YLS	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR016UEH	TF ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										TARDBP-human	DNA						2016-11-08	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF747NOF/, /files/ENCFF963FTZ/, /files/ENCFF423BBH/, /files/ENCFF179SRP/	6275342	ENCODE Processing Pipeline	09cfe5e49e9aaf2ca574d52fdd0e76a9		https://www.encodeproject.org/files/ENCFF938YLS/@@download/ENCFF938YLS.bed.gz				released	s3://encode-public/2016/11/02/5e5af8d7-f3d0-4026-bb98-7c03683ccc0e/ENCFF938YLS.bed.gz	ENCODE3 GRCh38	archived	low read depth, borderline replicate concordance		
ENCFF887EVV	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR016UEH	TF ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										TARDBP-human	DNA						2016-11-08	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF043AHC/, /files/ENCFF938YLS/, /files/ENCFF078SOE/, /files/ENCFF419RSJ/	99422	ENCODE Processing Pipeline	91f350719c5546757d79d3d69ca54949		https://www.encodeproject.org/files/ENCFF887EVV/@@download/ENCFF887EVV.bed.gz				released	s3://encode-public/2016/11/02/e49051be-2edf-470f-8bc6-a257672eb7fb/ENCFF887EVV.bed.gz	ENCODE3 GRCh38	archived	low read depth, borderline replicate concordance		
ENCFF871LZM	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR016UEH	TF ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										TARDBP-human	DNA						2016-11-08	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF043AHC/, /files/ENCFF938YLS/, /files/ENCFF078SOE/, /files/ENCFF419RSJ/	122416	ENCODE Processing Pipeline	18c5363d23846665ae270bf20fd17ce2		https://www.encodeproject.org/files/ENCFF871LZM/@@download/ENCFF871LZM.bed.gz				released	s3://encode-public/2016/11/02/ef7ecff8-c8ca-4d06-8b3a-aa60b12ddc60/ENCFF871LZM.bed.gz	ENCODE3 GRCh38	archived	low read depth, borderline replicate concordance		
ENCFF168RYI	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	hg19	ENCSR016UEH	TF ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										TARDBP-human	DNA						2016-11-08	ENCODE		see document		2	2_1							/files/ENCFF199MDR/, /files/ENCFF991WDT/, /files/ENCFF787RYL/	5497898	ENCODE Processing Pipeline	63382d019e0fde4f49a5993034e60f45		https://www.encodeproject.org/files/ENCFF168RYI/@@download/ENCFF168RYI.bed.gz				released	s3://encode-public/2016/11/16/e465e9d4-ba1f-4d75-bfef-dc4dd4d92b14/ENCFF168RYI.bed.gz	ENCODE3 hg19	archived	low read depth, borderline replicate concordance		
ENCFF922UWO	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	hg19	ENCSR016UEH	TF ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										TARDBP-human	DNA						2016-11-08	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF001TDO/, /files/ENCFF500LLP/, /files/ENCFF168RYI/, /files/ENCFF025MTA/	99146	ENCODE Processing Pipeline	0c72aef876eaf319f80ae883f65aff84		https://www.encodeproject.org/files/ENCFF922UWO/@@download/ENCFF922UWO.bed.gz				released	s3://encode-public/2016/11/16/94a4a207-ae98-4825-96fa-0c3b5ed876c3/ENCFF922UWO.bed.gz	ENCODE3 hg19	archived	low read depth, borderline replicate concordance		
ENCFF025MTA	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	hg19	ENCSR016UEH	TF ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										TARDBP-human	DNA						2016-11-08	ENCODE		see document		1	1_1							/files/ENCFF598WGZ/, /files/ENCFF991WDT/, /files/ENCFF787RYL/	5657686	ENCODE Processing Pipeline	1332477ed89d41eeebcef99f85c146c5		https://www.encodeproject.org/files/ENCFF025MTA/@@download/ENCFF025MTA.bed.gz				released	s3://encode-public/2016/11/16/d3b8a274-3353-4678-985d-345f583fc533/ENCFF025MTA.bed.gz	ENCODE3 hg19	archived	low read depth, borderline replicate concordance		
ENCFF500LLP	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	hg19	ENCSR016UEH	TF ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										TARDBP-human	DNA						2016-11-08	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF598WGZ/, /files/ENCFF991WDT/, /files/ENCFF787RYL/, /files/ENCFF199MDR/	6285494	ENCODE Processing Pipeline	3f89439fe4e35543d97ef489e957a713		https://www.encodeproject.org/files/ENCFF500LLP/@@download/ENCFF500LLP.bed.gz				released	s3://encode-public/2016/11/16/f0028e80-8587-4b63-b311-2e7fc31a1c88/ENCFF500LLP.bed.gz	ENCODE3 hg19	archived	low read depth, borderline replicate concordance		
ENCFF374HJR	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR016UEH	TF ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										TARDBP-human	DNA						2016-11-08	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF001TDO/, /files/ENCFF500LLP/, /files/ENCFF168RYI/, /files/ENCFF025MTA/	117764	ENCODE Processing Pipeline	aa3bef7e4e1504bc5d0fe6d1cb3b61b9		https://www.encodeproject.org/files/ENCFF374HJR/@@download/ENCFF374HJR.bed.gz				released	s3://encode-public/2016/11/16/fa8aa279-e2e4-4d7b-b571-5c2d88268f52/ENCFF374HJR.bed.gz	ENCODE3 hg19	archived	low read depth, borderline replicate concordance		
ENCFF444CMI	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR016UEH	TF ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										TARDBP-human	DNA						2016-11-08	ENCODE		see document		2	2_1							/files/ENCFF356LFX/, /files/ENCFF612NNB/, /files/ENCFF707WGY/, /files/ENCFF923QPK/	36383	ENCODE Processing Pipeline	4fd492d6402c22a80270a95f24d6cfa9		https://www.encodeproject.org/files/ENCFF444CMI/@@download/ENCFF444CMI.bed.gz				released	s3://encode-public/2021/02/04/3a4197e3-69e9-40ec-a9b4-8d2c9364822e/ENCFF444CMI.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read depth, borderline replicate concordance		
ENCFF660WNP	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR016UEH	TF ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										TARDBP-human	DNA						2016-11-08	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF612NNB/, /files/ENCFF776NRF/, /files/ENCFF707WGY/, /files/ENCFF923QPK/	94916	ENCODE Processing Pipeline	00ac989b19f77dd6f507cced4fe86f8d		https://www.encodeproject.org/files/ENCFF660WNP/@@download/ENCFF660WNP.bed.gz				released	s3://encode-public/2021/02/04/c3e48ed0-dee5-4f77-b350-cea1a0ad857e/ENCFF660WNP.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read depth, borderline replicate concordance		
ENCFF592VPQ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR016UEH	TF ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										TARDBP-human	DNA						2016-11-08	ENCODE		see document		1	1_1							/files/ENCFF776NRF/, /files/ENCFF356LFX/, /files/ENCFF612NNB/, /files/ENCFF923QPK/	82285	ENCODE Processing Pipeline	7b5fe934cce8ab58f368501b659c7bd6		https://www.encodeproject.org/files/ENCFF592VPQ/@@download/ENCFF592VPQ.bed.gz				released	s3://encode-public/2021/02/04/38aa67a7-8c28-4093-949f-844a04cb5b6b/ENCFF592VPQ.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read depth, borderline replicate concordance		
ENCFF847AAV	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR016UEH	TF ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										TARDBP-human	DNA						2016-11-08	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF612NNB/, /files/ENCFF776NRF/, /files/ENCFF707WGY/, /files/ENCFF923QPK/	119630	ENCODE Processing Pipeline	5c9675915722c346ad5d66a0ad28cab4		https://www.encodeproject.org/files/ENCFF847AAV/@@download/ENCFF847AAV.bed.gz				released	s3://encode-public/2021/02/04/6ef01ae4-08ed-425e-b445-33ba466d572a/ENCFF847AAV.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read depth, borderline replicate concordance		
ENCFF176CKT	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR801SWX	TF ChIP-seq	EFO:0001203	MCF-7	cell line	Homo sapiens										TARDBP-human	DNA						2017-02-01	ENCODE			450-650	1	1_1							/files/ENCFF426RDP/, /files/ENCFF401VIW/	6216438	ENCODE Processing Pipeline	912c368a63787ec47863ad09ad62b4f4		https://www.encodeproject.org/files/ENCFF176CKT/@@download/ENCFF176CKT.bed.gz				released	s3://encode-public/2017/02/01/d139e3d3-189b-4ecd-9628-66546231560e/ENCFF176CKT.bed.gz	ENCODE3 GRCh38	archived			
ENCFF592YUU	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR801SWX	TF ChIP-seq	EFO:0001203	MCF-7	cell line	Homo sapiens										TARDBP-human	DNA						2017-02-01	ENCODE			450-650	2	2_1							/files/ENCFF369JAU/, /files/ENCFF291AFY/	6232888	ENCODE Processing Pipeline	13afc05bf130f35769f90ca4d469117f		https://www.encodeproject.org/files/ENCFF592YUU/@@download/ENCFF592YUU.bed.gz				released	s3://encode-public/2017/02/01/c897ac2c-6200-4ab9-96b5-bda2f9b021cf/ENCFF592YUU.bed.gz	ENCODE3 GRCh38	archived			
ENCFF087MSV	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR801SWX	TF ChIP-seq	EFO:0001203	MCF-7	cell line	Homo sapiens										TARDBP-human	DNA						2017-02-01	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF369JAU/, /files/ENCFF426RDP/, /files/ENCFF401VIW/, /files/ENCFF291AFY/	7123753	ENCODE Processing Pipeline	228d5cf51a7a10e80a167dc6d1b5f1e3		https://www.encodeproject.org/files/ENCFF087MSV/@@download/ENCFF087MSV.bed.gz				released	s3://encode-public/2017/02/01/b343377b-d338-47a8-8cc1-b3fcdf94491f/ENCFF087MSV.bed.gz	ENCODE3 GRCh38	archived			
ENCFF431EFX	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR801SWX	TF ChIP-seq	EFO:0001203	MCF-7	cell line	Homo sapiens										TARDBP-human	DNA						2017-02-01	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF592YUU/, /files/ENCFF087MSV/, /files/ENCFF419RSJ/, /files/ENCFF176CKT/	128858	ENCODE Processing Pipeline	8dc7231d160a3e50f4ed4db32a0e6a3c		https://www.encodeproject.org/files/ENCFF431EFX/@@download/ENCFF431EFX.bed.gz				released	s3://encode-public/2017/02/01/dc386679-0ba8-4ba8-8e55-84a6d3945e46/ENCFF431EFX.bed.gz	ENCODE3 GRCh38	archived			
ENCFF233RBO	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR801SWX	TF ChIP-seq	EFO:0001203	MCF-7	cell line	Homo sapiens										TARDBP-human	DNA						2017-02-01	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF592YUU/, /files/ENCFF087MSV/, /files/ENCFF419RSJ/, /files/ENCFF176CKT/	220804	ENCODE Processing Pipeline	b1d78fba47c1ce17be932e0c9fbc8cfa		https://www.encodeproject.org/files/ENCFF233RBO/@@download/ENCFF233RBO.bed.gz				released	s3://encode-public/2017/02/01/44449afb-2024-4c5e-aafd-e2752173230c/ENCFF233RBO.bed.gz	ENCODE3 GRCh38	archived			
ENCFF480TTE	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	hg19	ENCSR801SWX	TF ChIP-seq	EFO:0001203	MCF-7	cell line	Homo sapiens										TARDBP-human	DNA						2017-02-01	ENCODE			450-650	1	1_1							/files/ENCFF822IOM/, /files/ENCFF583FAG/	6210987	ENCODE Processing Pipeline	374e78559a34de67d23cc29e6508a582		https://www.encodeproject.org/files/ENCFF480TTE/@@download/ENCFF480TTE.bed.gz				released	s3://encode-public/2017/02/03/de1cc499-b0f5-422a-85fa-8e82bfdea954/ENCFF480TTE.bed.gz	ENCODE3 hg19	archived			
ENCFF411PFB	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	hg19	ENCSR801SWX	TF ChIP-seq	EFO:0001203	MCF-7	cell line	Homo sapiens										TARDBP-human	DNA						2017-02-01	ENCODE			450-650	2	2_1							/files/ENCFF503QER/, /files/ENCFF049MPQ/	6218142	ENCODE Processing Pipeline	b56920f4e3ee139efec51cb15646b66e		https://www.encodeproject.org/files/ENCFF411PFB/@@download/ENCFF411PFB.bed.gz				released	s3://encode-public/2017/02/03/cfae9ff3-7263-4762-84de-1532e3f86c58/ENCFF411PFB.bed.gz	ENCODE3 hg19	archived			
ENCFF319FAG	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	hg19	ENCSR801SWX	TF ChIP-seq	EFO:0001203	MCF-7	cell line	Homo sapiens										TARDBP-human	DNA						2017-02-01	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF503QER/, /files/ENCFF822IOM/, /files/ENCFF049MPQ/, /files/ENCFF583FAG/	7114940	ENCODE Processing Pipeline	ba04cffbcf26bb2d5b0bd955c1c4c03d		https://www.encodeproject.org/files/ENCFF319FAG/@@download/ENCFF319FAG.bed.gz				released	s3://encode-public/2017/02/03/66248564-d492-4800-b5f4-b807ae13aed2/ENCFF319FAG.bed.gz	ENCODE3 hg19	archived			
ENCFF685HUX	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	hg19	ENCSR801SWX	TF ChIP-seq	EFO:0001203	MCF-7	cell line	Homo sapiens										TARDBP-human	DNA						2017-02-01	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF319FAG/, /files/ENCFF001TDO/, /files/ENCFF411PFB/, /files/ENCFF480TTE/	126069	ENCODE Processing Pipeline	50d5f1574c3b41b5c733e90ab0a81725		https://www.encodeproject.org/files/ENCFF685HUX/@@download/ENCFF685HUX.bed.gz				released	s3://encode-public/2017/02/03/83f45c87-47b3-49e0-bfdd-465f7078e320/ENCFF685HUX.bed.gz	ENCODE3 hg19	archived			
